StartTime,EndTime,State,DamageProperty,DamageCrops,Source,StormSummary
2007-01-01 00:00:00.0000000,2007-01-27 14:00:00.0000000,INDIANA,0,0,Unknown,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-01-01T00:00:00Z"",
  ""EndTime"": ""2007-01-27T14:00:00Z"",
  ""Details"": {
    ""Description"": ""At the Petersburg river gage, the White River crested at 25.09 feet on the 21st. This is almost ten feet above the flood stage of 16 feet. Although the flooding was moderately severe, this crest was over two and a half feet lower than the major flood in January, 2005. Extensive bottomland flooding affected agricultural and rural residential areas. Several rural county roads flooded. A few residents moved out of an area locally known as Dodge City. Several small oil fields were inaccessible. Since this occurred outside of agricultural season, little or no crop damage occurred. High water isolated some river cabin residents. State Road 257 was completely flooded."",
    ""Location"": ""INDIANA""
  }
}"
2007-01-01 00:00:00.0000000,2007-01-28 14:00:00.0000000,INDIANA,0,0,Unknown,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-01-01T00:00:00Z"",
  ""EndTime"": ""2007-01-28T14:00:00Z"",
  ""Details"": {
    ""Description"": ""At the Hazleton river gage, the White River crested at 26.0 feet on the 22nd. This is exactly ten feet above the flood stage of 16 feet. Although the flooding was moderately severe, this crest was five and a half feet lower than the major flood in January, 2005. Flood gates are normally installed at Hazleton at 26 feet. People in residential cabins on the riverward side of the levee generally relocate at this level. Many local roads were completely impassable. Oil fields were inaccessible. Water began to come onto the street at the corner of West 2nd Street and Brown Street in the town of Hazleton. Extensive flooding of agricultural fields occurred. Since this flood occurred outside of the growing season, little if any crop damage occurred."",
    ""Location"": ""INDIANA""
  }
}"
2007-01-01 18:39:00.0000000,2007-01-12 12:34:00.0000000,INDIANA,10000,0,Other Federal,"{
  ""TotalDamages"": 10000,
  ""StartTime"": ""2007-01-01T18:39:00Z"",
  ""EndTime"": ""2007-01-12T12:34:00Z"",
  ""Details"": {
    ""Description"": ""The Wabash River in Tippecanoe County went back above flood during the first half of January.  Crests were as high as 9.4 feet above flood stage."",
    ""Location"": ""INDIANA""
  }
}"
2007-01-02 00:00:00.0000000,2007-01-03 18:00:00.0000000,OREGON,0,0,COOP Observer,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-01-02T00:00:00Z"",
  ""EndTime"": ""2007-01-03T18:00:00Z"",
  ""Details"": {
    ""Description"": ""A total accumulation of 2.10 inches was reported at Bonneville Dam."",
    ""Location"": ""OREGON""
  }
}"
2007-01-02 00:00:00.0000000,2007-01-03 18:00:00.0000000,OREGON,0,0,Trained Spotter,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-01-02T00:00:00Z"",
  ""EndTime"": ""2007-01-03T18:00:00Z"",
  ""Details"": {
    ""Description"": ""A total accumulation of 3.31 inches was reported at Bonneville Dam."",
    ""Location"": ""OREGON""
  }
}"
2007-01-02 00:00:00.0000000,2007-01-03 18:00:00.0000000,OREGON,0,0,Mesonet,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-01-02T00:00:00Z"",
  ""EndTime"": ""2007-01-03T18:00:00Z"",
  ""Details"": {
    ""Description"": ""A total accumulation of 3.01 inches was reported at Wanderers Peak RAWS."",
    ""Location"": ""OREGON""
  }
}"
2007-01-02 00:00:00.0000000,2007-01-03 18:00:00.0000000,WASHINGTON,0,0,Mesonet,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-01-02T00:00:00Z"",
  ""EndTime"": ""2007-01-03T18:00:00Z"",
  ""Details"": {
    ""Description"": ""A total accumulation of 1.90 inches was reported at the Abernathy Mountain RAWS."",
    ""Location"": ""WASHINGTON""
  }
}"
2007-01-02 00:00:00.0000000,2007-01-03 18:00:00.0000000,WASHINGTON,0,0,Trained Spotter,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-01-02T00:00:00Z"",
  ""EndTime"": ""2007-01-03T18:00:00Z"",
  ""Details"": {
    ""Description"": ""A total accumulation of 2.13 inches was reported at Castle Rock."",
    ""Location"": ""WASHINGTON""
  }
}"
2007-01-02 00:00:00.0000000,2007-01-03 18:00:00.0000000,WASHINGTON,0,0,Trained Spotter,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-01-02T00:00:00Z"",
  ""EndTime"": ""2007-01-03T18:00:00Z"",
  ""Details"": {
    ""Description"": ""A total accumulation of 1.76 inches was reported at Washougal."",
    ""Location"": ""WASHINGTON""
  }
}"
2007-01-02 00:00:00.0000000,2007-01-03 18:00:00.0000000,OREGON,0,0,Trained Spotter,"{
  ""TotalDamages"": 0,
  ""StartTime"": ""2007-01-02T00:00:00Z"",
  ""EndTime"": ""2007-01-03T18:00:00Z"",
  ""Details"": {
    ""Description"": ""A total accumulation of 1.61 inches was reported at the WFO Portland."",
    ""Location"": ""OREGON""
  }
}"
